location,reproduction_rate,people_vaccinated_per_hundred
Argentina,1.13,0.09
Argentina,1.14,0.09
Argentina,1.14,0.09
Argentina,1.13,0.09
Argentina,1.12,0.24
Argentina,1.11,0.24
Argentina,1.09,0.24
Argentina,1.09,0.24
Argentina,1.08,0.24
Argentina,1.07,0.37
Argentina,1.06,0.37
Argentina,1.04,0.44
Argentina,1.03,0.44
Argentina,1.02,1
Argentina,1.01,0.44
Argentina,1,0.44
Argentina,1,0.54
Argentina,0.99,0.55
Argentina,0.98,0.56
Argentina,0.97,0.57
Argentina,0.96,0.58
Argentina,0.95,0.58
Argentina,0.95,0.59
Argentina,0.95,0.6
Argentina,0.94,0.61
Argentina,0.94,0.62
Argentina,0.93,0.62
Argentina,0.92,0.62
Argentina,0.92,0.62
Argentina,0.92,0.62
Argentina,0.92,0.63
Argentina,0.92,0.66
Argentina,0.91,0.66
Argentina,0.9,0.68
Argentina,0.9,0.71
Argentina,0.9,0.71
Argentina,0.9,0.71
Argentina,0.91,0.75
Argentina,0.9,0.8
Argentina,0.9,0.81
Argentina,0.9,0.82
Argentina,0.9,0.82
Argentina,0.9,0.82
Argentina,0.91,0.83
Argentina,0.92,0.83
Argentina,0.93,0.87
Argentina,0.93,0.92
Argentina,0.93,0.99
Argentina,0.93,1.01
Argentina,0.94,1.02
Argentina,0.94,1.07
Argentina,0.95,1.14
Argentina,0.94,1.24
Argentina,0.94,1.37
Argentina,0.93,1.54
Argentina,0.93,1.62
Argentina,0.93,1.67
Austria,0.95,0.08
Austria,0.94,0.13
Austria,0.95,0.15
Austria,0.97,0.22
Austria,0.98,0.33
Austria,0.93,0.44
Austria,0.9,0.56
Austria,0.87,0.62
Austria,0.87,0.67
Austria,0.88,0.78
Austria,0.89,0.96
Austria,0.9,1.17
Austria,0.91,1.35
Austria,0.89,1.47
Austria,0.87,1.5
Austria,0.87,1.52
Austria,0.88,1.63
Austria,0.9,1.71
Austria,0.91,1.82
Austria,0.91,1.93
Austria,0.91,2.04
Austria,0.9,2.06
Austria,0.91,2.07
Austria,0.92,2.11
Austria,0.94,2.16
Austria,0.95,2.21
Austria,0.96,2.24
Austria,0.96,2.31
Austria,0.96,2.33
Austria,0.96,2.35
Austria,0.99,2.39
Austria,1.01,2.43
Austria,1.03,2.49
Austria,1.05,2.55
Austria,1.04,2.63
Austria,1.04,2.68
Austria,1.05,2.69
Austria,1.08,2.75
Austria,1.11,2.82
Austria,1.14,2.96
Austria,1.14,3.08
Austria,1.14,3.2
Austria,1.13,3.31
Austria,1.12,3.39
Austria,1.13,3.47
Austria,1.15,3.59
Austria,1.16,3.77
Austria,1.15,3.77
Austria,1.14,3.77
Austria,1.11,3.77
Austria,1.08,3.77
Bahrain,1.1,3.49
Bahrain,1.11,3.53
Bahrain,1.11,3.57
Bahrain,1.11,3.62
Bahrain,1.11,3.75
Bahrain,1.11,4.02
Bahrain,1.11,4.25
Bahrain,1.11,4.6
Bahrain,1.11,4.95
Bahrain,1.11,5.25
Bahrain,1.11,5.44
Bahrain,1.11,5.75
Bahrain,1.11,5.96
Bahrain,1.11,6.44
Bahrain,1.11,7.22
Bahrain,1.11,8.06
Bahrain,1.12,8.32
Bahrain,1.12,8.39
Bahrain,1.12,8.44
Bahrain,1.12,8.47
Bahrain,1.13,8.47
Bahrain,1.13,8.47
Bahrain,1.13,8.47
Bahrain,1.14,8.47
Bahrain,1.14,8.47
Bahrain,1.14,9.75
Bahrain,1.15,9.86
Bahrain,1.15,9.96
Bahrain,1.15,9.98
Bahrain,1.15,10.02
Bahrain,1.15,10.08
Bahrain,1.15,10.16
Bahrain,1.15,10.23
Bahrain,1.15,10.29
Bahrain,1.15,10.42
Bahrain,1.15,10.55
Bahrain,1.14,10.73
Bahrain,1.14,11.25
Bahrain,1.14,11.82
Bahrain,1.13,12.51
Bahrain,1.13,12.91
Bahrain,1.13,13.22
Bahrain,1.12,13.67
Bahrain,1.11,14.24
Bahrain,1.11,14.62
Bahrain,1.1,14.75
Bahrain,1.1,14.87
Bahrain,1.09,15.14
Bahrain,1.09,15.48
Bahrain,1.08,15.77
Bahrain,1.08,15.97
Bahrain,1.07,16.16
Bahrain,1.07,16.35
Bahrain,1.07,16.54
Bahrain,1.06,16.75
Bahrain,1.06,17.05
Bahrain,1.06,17.21
Bahrain,1.05,17.35
Bahrain,1.05,17.52
Bahrain,1.05,17.7
Belgium,0.93,0.01
Belgium,0.93,0.01
Belgium,0.94,0.01
Belgium,0.96,0.01
Belgium,0.99,0.02
Belgium,1.02,0.05
Belgium,1.03,0.12
Belgium,1.03,0.2
Belgium,1.02,0.23
Belgium,1.02,0.23
Belgium,1.02,0.28
Belgium,1.04,0.42
Belgium,1.05,0.6
Belgium,1.05,0.8
Belgium,1.04,1
Belgium,1.03,1.04
Belgium,1.03,1.07
Belgium,1.03,1.16
Belgium,1.04,1.33
Belgium,1.05,1.5
Belgium,1.05,1.76
Belgium,1.05,2.01
Belgium,1.05,2.08
Belgium,1.04,2.1
Belgium,1.04,2.2
Belgium,1.04,2.29
Belgium,1.05,2.4
Belgium,1.05,2.53
Belgium,1.05,2.64
Belgium,1.04,2.65
Belgium,1.03,2.65
Belgium,1.02,2.69
Belgium,1.02,2.77
Belgium,1.02,2.85
Belgium,1.01,2.93
Belgium,1,3
Belgium,0.99,3.01
Belgium,0.98,3.01
Belgium,0.97,3.03
Belgium,0.98,3.09
Belgium,0.99,3.15
Belgium,0.99,3.21
Belgium,0.99,3.27
Belgium,0.99,3.27
Belgium,0.99,3.27
Belgium,0.99,3.29
Belgium,1.01,3.33
Belgium,1.03,3.39
Belgium,1.05,3.48
Belgium,1.05,3.63
Belgium,1.05,3.66
Belgium,1.04,3.67
Belgium,1.03,3.75
Belgium,1.04,3.85
Belgium,1.04,3.97
Belgium,1.04,4.16
Belgium,1.03,4.36
Belgium,1.01,4.39
Belgium,0.99,4.4
Belgium,0.98,4.48
Brazil,1.05,0.01
Brazil,1.04,0.01
Brazil,1.04,0.06
Brazil,1.03,0.12
Brazil,1.03,0.25
Brazil,1.02,0.28
Brazil,1.02,0.33
Brazil,1.02,0.4
Brazil,1.02,0.53
Brazil,1.02,0.68
Brazil,1.01,0.78
Brazil,1.01,0.91
Brazil,1,0.96
Brazil,1,0.99
Brazil,1,1.08
Brazil,1,1.19
Brazil,1,1.45
Brazil,1,1.45
Brazil,1,1.6
Brazil,1.01,1.66
Brazil,1.01,1.68
Brazil,1.02,1.78
Brazil,1.02,1.91
Brazil,1.02,2.04
Brazil,1.02,2.16
Brazil,1.02,2.33
Brazil,1.01,2.37
Brazil,1.02,2.39
Brazil,1.02,2.5
Brazil,1.03,2.51
Brazil,1.03,2.58
Brazil,1.03,2.65
Brazil,1.03,2.71
Brazil,1.03,2.74
Brazil,1.03,2.76
Brazil,1.04,2.82
Brazil,1.04,2.88
Brazil,1.04,2.92
Brazil,1.04,2.99
Brazil,1.04,3.03
Brazil,1.03,3.07
Brazil,1.03,3.08
Bulgaria,0.76,0.07
Bulgaria,0.76,0.07
Bulgaria,0.77,0.07
Bulgaria,0.8,0.07
Bulgaria,0.81,0.08
Bulgaria,0.81,0.11
Bulgaria,0.81,0.16
Bulgaria,0.8,0.19
Bulgaria,0.79,0.19
Bulgaria,0.79,0.19
Bulgaria,0.8,0.2
Bulgaria,0.81,0.23
Bulgaria,0.81,0.25
Bulgaria,0.82,0.25
Bulgaria,0.82,0.26
Bulgaria,0.83,0.26
Bulgaria,0.84,0.27
Bulgaria,0.87,0.27
Bulgaria,0.89,0.27
Bulgaria,0.91,0.29
Bulgaria,0.93,0.3
Bulgaria,0.94,0.31
Bulgaria,0.96,0.31
Bulgaria,0.98,0.31
Bulgaria,1.02,0.32
Bulgaria,1.04,0.34
Bulgaria,1.05,0.36
Bulgaria,1.06,0.39
Bulgaria,1.08,0.4
Bulgaria,1.08,0.4
Bulgaria,1.1,0.4
Bulgaria,1.13,0.42
Bulgaria,1.15,0.44
Bulgaria,1.16,0.48
Bulgaria,1.16,0.53
Bulgaria,1.17,0.57
Bulgaria,1.17,0.57
Bulgaria,1.17,0.57
Bulgaria,1.19,0.6
Bulgaria,1.2,0.64
Bulgaria,1.2,0.68
Bulgaria,1.2,0.74
Bulgaria,1.2,0.78
Bulgaria,1.19,0.79
Bulgaria,1.2,0.79
Bulgaria,1.22,0.81
Bulgaria,1.24,0.84
Bulgaria,1.25,0.89
Bulgaria,1.25,0.94
Bulgaria,1.26,1.12
Bulgaria,1.25,1.17
Bulgaria,1.27,1.33
Bulgaria,1.29,1.48
Bulgaria,1.31,1.71
Bulgaria,1.31,1.96
Bulgaria,1.31,2.21
Bulgaria,1.3,2.41
Bulgaria,1.3,2.48
Bulgaria,1.3,2.52
Bulgaria,1.33,2.66
Canada,1.06,2.97
Canada,1.07,0.29
Canada,1.09,0.3
Canada,1.08,0.36
Canada,1.07,0.41
Canada,1.06,0.49
Canada,1.04,0.58
Canada,1.03,0.68
Canada,1.02,0.77
Canada,1,0.83
Canada,0.98,0.94
Canada,0.97,1.01
Canada,0.96,1.07
Canada,0.94,1.16
Canada,0.93,1.27
Canada,0.92,1.36
Canada,0.91,1.43
Canada,0.9,1.54
Canada,0.89,1.63
Canada,0.88,1.7
Canada,0.88,1.79
Canada,0.87,1.86
Canada,0.86,1.9
Canada,0.86,1.93
Canada,0.85,1.96
Canada,0.84,2
Canada,0.84,2.14
Canada,0.84,2.18
Canada,0.84,2.22
Canada,0.84,2.23
Canada,0.83,2.24
Canada,0.83,2.28
Canada,0.83,2.3
Canada,0.83,2.31
Canada,0.84,2.33
Canada,0.84,2.35
Canada,0.84,2.37
Canada,0.84,2.39
Canada,0.85,2.41
Canada,0.85,2.44
Canada,0.85,2.46
Canada,0.86,2.5
Canada,0.86,2.53
Canada,0.87,2.56
Canada,0.87,2.57
Canada,0.88,2.58
Canada,0.89,2.6
Canada,0.9,2.61
Canada,0.91,2.63
Canada,0.91,2.69
Canada,0.91,2.78
Canada,0.92,2.86
Canada,0.93,2.94
Canada,0.93,3.02
Canada,0.94,3.1
Canada,0.94,3.21
Canada,0.94,3.36
Canada,0.94,3.5
Canada,0.94,3.61
Canada,0.95,3.73
Chile,1.17,0.05
Chile,1.17,0.05
Chile,1.17,0.05
Chile,1.17,0.05
Chile,1.17,0.05
Chile,1.18,0.06
Chile,1.19,0.06
Chile,1.19,0.06
Chile,1.19,0.06
Chile,1.18,0.06
Chile,1.17,0.06
Chile,1.16,0.06
Chile,1.15,0.06
Chile,1.15,0.07
Chile,1.14,0.07
Chile,1.13,0.07
Chile,1.12,0.07
Chile,1.11,0.13
Chile,1.1,0.23
Chile,1.09,0.28
Chile,1.09,0.3
Chile,1.08,0.3
Chile,1.07,0.3
Chile,1.06,0.3
Chile,1.05,0.3
Chile,1.03,0.3
Chile,1.03,0.3
Chile,1.02,0.3
Chile,1.02,0.3
Chile,1.01,0.3
Chile,1,0.3
Chile,0.99,0.3
Chile,0.99,0.37
Chile,0.98,1.26
Chile,0.98,2.17
Chile,0.98,3.05
Chile,0.98,3.19
